id,repdem,libcon
216,Democrat (Strongly Democratic),Liberal
217,Independent (Lean toward the Democratic Party),Slightly liberal
218,Republican (Strongly Republican),Conservative
219,Republican (Weakly Republican),Conservative
220,Democrat (Strongly Democratic),Extremely liberal
222,Democrat (Strongly Democratic),Liberal
223,Independent (Lean toward the Democratic Party),Slightly liberal
224,Democrat (Strongly Democratic),Moderate
225,Independent,Moderate
226,Democrat (Strongly Democratic),Liberal
227,Independent (Lean toward the Republican Party),Conservative
228,Democrat (Strongly Democratic),Liberal
229,Independent (Lean toward the Democratic Party),Slightly liberal
230,Independent (Lean toward the Democratic Party),Liberal
231,Democrat (Strongly Democratic),Liberal
232,Democrat (Weakly Democratic),Liberal
233,Democrat (Strongly Democratic),Liberal
234,Democrat (Strongly Democratic),Extremely liberal
236,Independent (Lean toward the Republican Party),Slightly conservative
237,Democrat (Weakly Democratic),Liberal
238,Democrat (Strongly Democratic),Liberal
239,Republican (Strongly Republican),Extremely conservative
240,Democrat (Strongly Democratic),Liberal
242,Independent (Lean toward the Democratic Party),Moderate
243,Independent (Lean toward the Democratic Party),Liberal
244,Democrat (Strongly Democratic),Liberal
245,Democrat (Strongly Democratic),Moderate
246,Independent (Lean toward the Democratic Party),Liberal
247,Independent,Liberal
248,Democrat (Strongly Democratic),Extremely liberal
249,Democrat (Strongly Democratic),Extremely liberal
250,Democrat (Strongly Democratic),Liberal
251,Independent,Moderate
252,Independent (Lean toward the Democratic Party),Liberal
253,Independent (Lean toward the Democratic Party),Liberal
254,Independent (Lean toward the Democratic Party),Slightly liberal
256,Democrat (Strongly Democratic),Extremely liberal
257,Democrat (Weakly Democratic),Moderate
258,Democrat (Strongly Democratic),Extremely liberal
259,Republican (Strongly Republican),Extremely conservative
260,Republican (Strongly Republican),Extremely conservative
261,Republican (Strongly Republican),Extremely conservative
262,Republican (Strongly Republican),Extremely conservative
263,Republican (Strongly Republican),Extremely conservative
264,Independent (Lean toward the Democratic Party),Extremely liberal
265,Republican (Strongly Republican),Extremely conservative
266,Democrat (Weakly Democratic),Moderate
267,Independent,Moderate
268,Democrat (Strongly Democratic),Slightly liberal
269,Democrat (Strongly Democratic),Liberal
270,Independent (Lean toward the Democratic Party),Liberal
271,Independent (Lean toward the Democratic Party),Liberal
272,Democrat (Strongly Democratic),Liberal
275,Independent,Conservative
276,Democrat (Weakly Democratic),Liberal
277,Independent (Lean toward the Democratic Party),Slightly liberal
278,Republican (Weakly Republican),Conservative
279,Independent (Lean toward the Republican Party),Moderate
280,Independent (Lean toward the Democratic Party),Moderate
281,Democrat (Strongly Democratic),Extremely liberal
282,Democrat (Strongly Democratic),Liberal
284,Independent,Slightly conservative
285,Democrat (Strongly Democratic),Extremely liberal
287,Democrat (Strongly Democratic),Liberal
288,Independent (Lean toward the Democratic Party),Slightly conservative
290,Republican (Strongly Republican),Extremely conservative
291,Democrat (Strongly Democratic),Liberal
292,Republican (Weakly Republican),Moderate
293,Independent (Lean toward the Democratic Party),Slightly liberal
295,Independent (Lean toward the Democratic Party),Extremely liberal
296,Independent (Lean toward the Republican Party),Moderate
297,Democrat (Weakly Democratic),Liberal
298,Democrat (Strongly Democratic),Liberal
299,Republican (Strongly Republican),Conservative
300,Independent (Lean toward the Democratic Party),Slightly liberal
301,Democrat (Strongly Democratic),Extremely liberal
302,Republican (Strongly Republican),Conservative
303,Democrat (Strongly Democratic),Extremely liberal
304,Democrat (Strongly Democratic),Extremely liberal
305,Democrat (Strongly Democratic),Liberal
306,Independent (Lean toward the Democratic Party),Conservative
307,Democrat (Strongly Democratic),Extremely liberal
308,Independent,Slightly liberal
309,Democrat (Strongly Democratic),Extremely liberal
311,Independent (Lean toward the Republican Party),Slightly conservative
312,Democrat (Strongly Democratic),Liberal
313,Independent (Lean toward the Democratic Party),Liberal
314,Democrat (Strongly Democratic),Extremely liberal
315,Democrat (Strongly Democratic),Liberal
316,Independent,Moderate
317,Independent,Conservative
318,Independent,Moderate
319,Democrat (Strongly Democratic),Liberal
321,Democrat (Weakly Democratic),Liberal
322,Independent (Lean toward the Republican Party),Moderate
324,Independent (Lean toward the Democratic Party),Moderate
325,Democrat (Strongly Democratic),Moderate
326,Independent,Moderate
327,Democrat (Weakly Democratic),Liberal
328,Republican (Weakly Republican),Slightly conservative
329,Independent,Moderate
330,Independent (Lean toward the Democratic Party),Moderate
331,Democrat (Weakly Democratic),Liberal
332,Republican (Strongly Republican),Extremely conservative
335,Democrat (Strongly Democratic),Liberal
336,Democrat (Strongly Democratic),Moderate
337,Independent,Moderate
338,Independent (Lean toward the Democratic Party),Slightly liberal
339,Democrat (Strongly Democratic),Liberal
340,Democrat (Strongly Democratic),Extremely liberal
342,Democrat (Strongly Democratic),Liberal
343,Democrat (Strongly Democratic),Extremely liberal
344,Democrat (Strongly Democratic),Extremely liberal
345,Democrat (Strongly Democratic),Extremely liberal
346,Democrat (Strongly Democratic),Liberal
348,Independent (Lean toward the Democratic Party),Slightly liberal
349,Independent (Lean toward the Democratic Party),Extremely liberal
350,Republican (Weakly Republican),Moderate
351,Independent (Lean toward the Democratic Party),Moderate
352,Democrat (Strongly Democratic),Liberal
353,Independent,Liberal
354,Independent (Lean toward the Republican Party),Conservative
355,Independent (Lean toward the Republican Party),Slightly liberal
356,Independent (Lean toward the Democratic Party),Conservative
357,Republican (Weakly Republican),Slightly conservative
358,Independent,Conservative
359,Independent (Lean toward the Democratic Party),Slightly liberal
361,Independent (Lean toward the Republican Party),Slightly conservative
362,Republican (Weakly Republican),Moderate
363,Independent (Lean toward the Democratic Party),Liberal
364,Democrat (Strongly Democratic),Liberal
365,Democrat (Strongly Democratic),Slightly conservative
367,Democrat (Weakly Democratic),Liberal
368,Republican (Strongly Republican),Conservative
369,Democrat (Strongly Democratic),Extremely liberal
370,Republican (Strongly Republican),Conservative
371,Democrat (Strongly Democratic),Liberal
372,Independent (Lean toward the Democratic Party),Slightly liberal
373,Independent (Lean toward the Republican Party),Moderate
374,Republican (Weakly Republican),Moderate
376,Democrat (Weakly Democratic),Liberal
378,Democrat (Strongly Democratic),Liberal
380,Independent (Lean toward the Democratic Party),Slightly conservative
381,Independent,Moderate
382,Democrat (Strongly Democratic),Moderate
383,Democrat (Weakly Democratic),Slightly liberal
384,Republican (Weakly Republican),Slightly conservative
385,Democrat (Strongly Democratic),Extremely liberal
386,Democrat (Strongly Democratic),Extremely liberal
387,Democrat (Weakly Democratic),Liberal
389,Democrat (Weakly Democratic),Liberal
390,Democrat (Strongly Democratic),Liberal
391,Independent (Lean toward the Democratic Party),Liberal
392,Democrat (Strongly Democratic),Liberal
393,Democrat (Strongly Democratic),Moderate
394,Independent (Lean toward the Democratic Party),Liberal
397,Democrat (Strongly Democratic),Extremely liberal
398,Republican (Strongly Republican),Conservative
399,Independent (Lean toward the Democratic Party),Slightly conservative
400,Independent,Moderate
401,Independent (Lean toward the Republican Party),Conservative
402,Democrat (Strongly Democratic),Extremely liberal
403,Republican (Weakly Republican),Moderate
404,Democrat (Weakly Democratic),Extremely liberal
405,Democrat (Strongly Democratic),Liberal
406,Republican (Strongly Republican),Conservative
407,Democrat (Weakly Democratic),Moderate
410,Republican (Strongly Republican),Conservative
411,Democrat (Strongly Democratic),Liberal
412,Independent (Lean toward the Democratic Party),Slightly liberal
413,Democrat (Strongly Democratic),Moderate
415,Democrat (Strongly Democratic),Extremely liberal
416,Independent,Slightly liberal
417,Democrat (Strongly Democratic),Extremely liberal
418,Democrat (Strongly Democratic),Liberal
420,Republican (Weakly Republican),Moderate
421,Independent (Lean toward the Democratic Party),Extremely liberal
422,Democrat (Strongly Democratic),Liberal
424,Democrat (Strongly Democratic),Liberal
426,Democrat (Weakly Democratic),Slightly liberal
428,Independent,Moderate
429,Independent (Lean toward the Democratic Party),Slightly liberal
430,Independent (Lean toward the Democratic Party),Liberal
431,Republican (Weakly Republican),Conservative
432,Republican (Weakly Republican),Slightly conservative
433,Republican (Weakly Republican),Slightly conservative
434,Independent,Slightly liberal
435,Democrat (Strongly Democratic),Liberal
436,Independent (Lean toward the Republican Party),Moderate
437,Democrat (Strongly Democratic),Extremely liberal
438,Independent (Lean toward the Republican Party),Moderate
439,Democrat (Strongly Democratic),Moderate
440,Democrat (Strongly Democratic),Moderate
442,Democrat (Weakly Democratic),Liberal
444,Democrat (Strongly Democratic),Liberal
445,Democrat (Strongly Democratic),Liberal
446,Democrat (Weakly Democratic),Liberal
447,Independent (Lean toward the Democratic Party),Slightly conservative
448,Democrat (Strongly Democratic),Extremely liberal
450,Democrat (Strongly Democratic),Liberal
451,Republican (Strongly Republican),Conservative
452,Independent (Lean toward the Democratic Party),Liberal
453,Independent,Moderate
454,Democrat (Strongly Democratic),Extremely liberal
456,Democrat (Strongly Democratic),Extremely liberal
457,Independent (Lean toward the Democratic Party),Liberal
458,Independent (Lean toward the Democratic Party),Liberal
459,Democrat (Strongly Democratic),Liberal
460,Democrat (Weakly Democratic),Extremely liberal
461,Democrat (Strongly Democratic),Liberal
462,Democrat (Weakly Democratic),Liberal
463,Democrat (Weakly Democratic),Liberal
464,Independent (Lean toward the Democratic Party),Liberal
465,Independent (Lean toward the Republican Party),Slightly conservative
466,Independent (Lean toward the Republican Party),Conservative
467,Republican (Strongly Republican),Moderate
468,Democrat (Weakly Democratic),Liberal
469,Independent,Moderate
470,Democrat (Weakly Democratic),Moderate
471,Independent (Lean toward the Democratic Party),Slightly liberal
472,Independent (Lean toward the Republican Party),Slightly conservative
473,Republican (Weakly Republican),Slightly conservative
474,Republican (Strongly Republican),Conservative
475,Independent (Lean toward the Democratic Party),Moderate
476,Republican (Weakly Republican),Conservative
477,Independent,Moderate
478,Democrat (Weakly Democratic),Liberal
480,Independent,Slightly liberal
481,Democrat (Strongly Democratic),Liberal
482,Independent (Lean toward the Democratic Party),Liberal
483,Democrat (Weakly Democratic),Liberal
484,Independent (Lean toward the Democratic Party),Slightly liberal
485,Democrat (Strongly Democratic),Extremely liberal
486,Independent (Lean toward the Democratic Party),Liberal
488,Republican (Strongly Republican),Conservative
490,Democrat (Weakly Democratic),Liberal
491,Independent (Lean toward the Republican Party),Slightly conservative
492,Independent,Moderate
493,Independent (Lean toward the Democratic Party),Liberal
494,Democrat (Weakly Democratic),Slightly liberal
495,Democrat (Weakly Democratic),Slightly liberal
497,Independent (Lean toward the Democratic Party),Liberal
499,Democrat (Weakly Democratic),Liberal
500,Democrat (Strongly Democratic),Slightly liberal
501,Independent,Moderate
502,Independent (Lean toward the Republican Party),Moderate
503,Independent (Lean toward the Democratic Party),Moderate
504,Republican (Strongly Republican),Extremely conservative
505,Democrat (Strongly Democratic),Extremely liberal
506,Independent (Lean toward the Democratic Party),Liberal
508,Democrat (Weakly Democratic),Liberal
509,Independent,Liberal
510,Republican (Weakly Republican),Liberal
511,Republican (Strongly Republican),Conservative
512,Independent (Lean toward the Republican Party),Slightly conservative
513,Independent (Lean toward the Democratic Party),Liberal
514,Democrat (Strongly Democratic),Extremely liberal
516,Democrat (Weakly Democratic),Liberal
517,Independent (Lean toward the Democratic Party),Liberal
518,Democrat (Strongly Democratic),Extremely liberal
519,Democrat (Strongly Democratic),Liberal
520,Republican (Weakly Republican),Conservative
522,Democrat (Strongly Democratic),Extremely liberal
523,Democrat (Strongly Democratic),Moderate
524,Independent (Lean toward the Democratic Party),Moderate
525,Independent (Lean toward the Republican Party),Moderate
526,Democrat (Strongly Democratic),Liberal
527,Democrat (Strongly Democratic),Liberal
529,Democrat (Strongly Democratic),Liberal
530,Democrat (Strongly Democratic),Moderate
531,Independent,Liberal
532,Democrat (Strongly Democratic),Conservative
533,Republican (Strongly Republican),Conservative
535,Independent (Lean toward the Democratic Party),Moderate
536,Independent (Lean toward the Republican Party),Slightly conservative
537,Independent (Lean toward the Republican Party),Slightly conservative
539,Democrat (Strongly Democratic),Liberal
540,Independent,Moderate
541,Democrat (Strongly Democratic),Liberal
542,Independent (Lean toward the Democratic Party),Slightly liberal
543,Republican (Weakly Republican),Moderate
544,Independent (Lean toward the Democratic Party),Liberal
545,Republican (Weakly Republican),Moderate
546,Independent (Lean toward the Republican Party),Slightly conservative
548,Republican (Weakly Republican),Slightly conservative
549,Democrat (Strongly Democratic),Extremely liberal
550,Democrat (Strongly Democratic),Extremely liberal
551,Independent (Lean toward the Democratic Party),Extremely liberal
552,Independent (Lean toward the Republican Party),Moderate
553,Independent (Lean toward the Democratic Party),Liberal
554,Republican (Weakly Republican),Slightly conservative
555,Independent (Lean toward the Republican Party),Moderate
556,Independent,Moderate
557,Independent (Lean toward the Republican Party),Slightly conservative
558,Democrat (Strongly Democratic),Slightly liberal
559,Independent,Slightly liberal
560,Democrat (Strongly Democratic),Liberal
561,Independent,Moderate
562,Independent,Conservative
563,Independent (Lean toward the Democratic Party),Slightly liberal
564,Democrat (Strongly Democratic),Liberal
565,Democrat (Strongly Democratic),Liberal
567,Democrat (Strongly Democratic),Liberal
568,Independent (Lean toward the Democratic Party),Extremely liberal
569,Independent (Lean toward the Democratic Party),Slightly liberal
570,Independent (Lean toward the Democratic Party),Slightly liberal
571,Independent (Lean toward the Republican Party),Slightly conservative
572,Democrat (Strongly Democratic),Extremely liberal
573,Independent (Lean toward the Democratic Party),Slightly liberal
574,Independent (Lean toward the Republican Party),Moderate
576,Independent (Lean toward the Democratic Party),Moderate
577,Democrat (Weakly Democratic),Slightly liberal
578,Independent,Slightly liberal
579,Democrat (Strongly Democratic),Extremely liberal
580,Democrat (Strongly Democratic),Liberal
581,Democrat (Strongly Democratic),Liberal
582,Democrat (Strongly Democratic),Liberal
583,Democrat (Strongly Democratic),Liberal
584,Democrat (Strongly Democratic),Liberal
586,Independent (Lean toward the Democratic Party),Liberal
587,Republican (Weakly Republican),Slightly conservative
588,Democrat (Strongly Democratic),Extremely liberal
589,Democrat (Strongly Democratic),Moderate
590,Democrat (Strongly Democratic),Slightly liberal
592,Democrat (Weakly Democratic),Moderate
593,Democrat (Weakly Democratic),Slightly conservative
595,Democrat (Strongly Democratic),Extremely liberal
596,Democrat (Weakly Democratic),Slightly conservative
597,Independent (Lean toward the Republican Party),Slightly conservative
598,Republican (Weakly Republican),Conservative
599,Independent,Moderate
600,Democrat (Strongly Democratic),Liberal
601,Democrat (Strongly Democratic),Extremely liberal
602,Democrat (Strongly Democratic),Slightly liberal
603,Republican (Strongly Republican),Slightly conservative
604,Democrat (Strongly Democratic),Extremely liberal
605,Democrat (Strongly Democratic),Extremely liberal
607,Democrat (Weakly Democratic),Liberal
608,Democrat (Weakly Democratic),Extremely liberal
609,Republican (Weakly Republican),Conservative
610,Democrat (Strongly Democratic),Liberal
611,Democrat (Strongly Democratic),Extremely liberal
612,Independent (Lean toward the Republican Party),Moderate
613,Democrat (Strongly Democratic),Liberal
614,Independent (Lean toward the Republican Party),Slightly conservative
615,Independent,Moderate
616,Independent,Liberal
617,Democrat (Strongly Democratic),Extremely conservative
618,Democrat (Weakly Democratic),Liberal
619,Democrat (Strongly Democratic),Extremely liberal
620,Democrat (Weakly Democratic),Conservative
621,Independent,Moderate
622,Independent (Lean toward the Democratic Party),Slightly liberal
624,Independent,Moderate
625,Republican (Strongly Republican),Extremely conservative
626,Democrat (Weakly Democratic),Moderate
627,Independent (Lean toward the Democratic Party),Liberal
630,Democrat (Weakly Democratic),Slightly liberal
631,Democrat (Strongly Democratic),Extremely liberal
632,Independent (Lean toward the Democratic Party),Moderate
633,Democrat (Strongly Democratic),Extremely liberal
634,Republican (Strongly Republican),Conservative
635,Republican (Strongly Republican),Conservative
638,Democrat (Strongly Democratic),Extremely liberal
639,Democrat (Strongly Democratic),Extremely liberal
640,Democrat (Strongly Democratic),Liberal
641,Independent (Lean toward the Democratic Party),Extremely liberal
642,Independent,Liberal
643,Democrat (Weakly Democratic),Moderate
644,Democrat (Weakly Democratic),Moderate
645,Democrat (Strongly Democratic),Extremely liberal
646,Republican (Weakly Republican),Conservative
648,Democrat (Strongly Democratic),Extremely liberal
649,Independent,Moderate
650,Democrat (Weakly Democratic),Liberal
651,Independent (Lean toward the Democratic Party),Moderate
652,Independent,Moderate
653,Independent,Slightly conservative
654,Independent (Lean toward the Republican Party),Slightly conservative
655,Independent (Lean toward the Republican Party),Slightly conservative
657,Democrat (Strongly Democratic),Liberal
658,Independent (Lean toward the Republican Party),Moderate
660,Democrat (Strongly Democratic),Liberal
661,Independent,Moderate
662,Independent (Lean toward the Democratic Party),Liberal
663,Democrat (Strongly Democratic),Extremely liberal
664,Democrat (Strongly Democratic),Slightly liberal
666,Democrat (Strongly Democratic),Liberal
667,Democrat (Strongly Democratic),Moderate
668,Democrat (Weakly Democratic),Moderate
669,Independent,Moderate
670,Independent (Lean toward the Democratic Party),Moderate
671,Independent (Lean toward the Republican Party),Slightly conservative
672,Independent (Lean toward the Republican Party),Slightly conservative
674,Democrat (Weakly Democratic),Extremely liberal
680,Democrat (Strongly Democratic),Extremely liberal
681,Independent,Moderate
682,Democrat (Weakly Democratic),Slightly liberal
683,Democrat (Strongly Democratic),Liberal
684,Independent (Lean toward the Democratic Party),Moderate
685,Democrat (Strongly Democratic),Liberal
686,Independent,Moderate
687,Independent (Lean toward the Democratic Party),Extremely liberal
688,Republican (Strongly Republican),Conservative
689,Democrat (Strongly Democratic),Liberal
690,Democrat (Strongly Democratic),Liberal
691,Independent,Conservative
692,Independent,Slightly liberal
693,Democrat (Strongly Democratic),Extremely liberal
694,Republican (Weakly Republican),Moderate
695,Democrat (Strongly Democratic),Extremely liberal
696,Democrat (Strongly Democratic),Liberal
697,Democrat (Strongly Democratic),Extremely liberal
698,Independent (Lean toward the Republican Party),Slightly conservative
699,Independent (Lean toward the Democratic Party),Liberal
700,Republican (Weakly Republican),Moderate
701,Democrat (Weakly Democratic),Moderate
702,Democrat (Weakly Democratic),Moderate
703,Independent,Slightly liberal
704,Independent (Lean toward the Democratic Party),Liberal
705,Independent,Moderate
707,Republican (Weakly Republican),Conservative
708,Independent (Lean toward the Republican Party),Moderate
709,Democrat (Weakly Democratic),Conservative
710,Democrat (Weakly Democratic),Slightly liberal
711,Republican (Strongly Republican),Conservative
712,Democrat (Strongly Democratic),Extremely liberal
713,Democrat (Strongly Democratic),Liberal
714,Independent,Moderate
715,Democrat (Strongly Democratic),Moderate
717,Republican (Weakly Republican),Conservative
718,Independent,Slightly conservative
719,Independent (Lean toward the Democratic Party),Liberal
720,Democrat (Weakly Democratic),Liberal
721,Independent (Lean toward the Democratic Party),Moderate
723,Independent (Lean toward the Democratic Party),Extremely liberal
724,Republican (Strongly Republican),Conservative
725,Independent (Lean toward the Republican Party),Conservative
726,Democrat (Weakly Democratic),Moderate
727,Independent (Lean toward the Democratic Party),Liberal
728,Independent,Moderate
731,Democrat (Weakly Democratic),Moderate
733,Democrat (Weakly Democratic),Extremely liberal
734,Independent,Conservative
735,Independent (Lean toward the Democratic Party),Liberal
736,Independent,Moderate
737,Democrat (Strongly Democratic),Extremely liberal
738,Democrat (Weakly Democratic),Liberal
739,Democrat (Strongly Democratic),Liberal
740,Independent (Lean toward the Democratic Party),Liberal
741,Independent (Lean toward the Republican Party),Moderate
742,Independent,Moderate
744,Independent (Lean toward the Republican Party),Moderate
745,Democrat (Strongly Democratic),Liberal
746,Independent (Lean toward the Republican Party),Conservative
747,Democrat (Weakly Democratic),Slightly liberal
748,Republican (Weakly Republican),Slightly conservative
750,Independent (Lean toward the Republican Party),Slightly conservative
751,Republican (Weakly Republican),Slightly conservative
752,Republican (Weakly Republican),Moderate
753,Democrat (Strongly Democratic),Extremely liberal
754,Independent,Moderate
755,Independent,Liberal
756,Democrat (Strongly Democratic),Moderate
757,Democrat (Strongly Democratic),Liberal
759,Independent (Lean toward the Democratic Party),Liberal
761,Democrat (Strongly Democratic),Extremely liberal
762,Independent (Lean toward the Democratic Party),Liberal
763,Democrat (Weakly Democratic),Liberal
764,Democrat (Strongly Democratic),Liberal
765,Independent (Lean toward the Democratic Party),Liberal
